"","DR","CRIMETYPE"
"11501",131004243,3.29212409626598
"11502",90408484,2.73297213884725
"11503",100923722,3.29212409626598
"11504",101519991,2.81569873975257
"11505",131800640,2.42383256460202
"11506",101916220,3.00037203013865
"11507",90701125,3.29212409626598
"11508",130221220,3.29212409626598
"11509",101200524,2.80435613834712
"11510",91014677,4.24971687707273
"11511",130620169,3.50148851430733
"11512",130316894,3.93672296931057
"11513",141408224,3.1794484835535
"11514",101205100,2.49879680764179
"11515",111228431,2.98711890247433
"11516",92111825,3.68663402530314
"11517",101009631,3.04628933199292
"11518",130807598,3.64590949933706
"11519",120405469,3.2513995702999
"11520",131801488,2.38310803863594
"11521",91120264,3.54221304027341
"11522",100518161,4.24281596614746
"11523",141006555,3.89599844334448
"11524",111812156,2.78493855451635
"11525",112021697,3.04628933199292
"11526",121816926,3.9996279330653
"11527",140708736,2.3066427865276
"11528",121804720,3.1794484835535
"11529",141911135,3.29212409626598
"11530",101106635,3.58673906981848
"11531",90519831,3.68663402530314
"11532",101211414,3.54221304027341
"11533",101707704,3.68663402530314
"11534",101716736,3.54221304027341
"11535",140108273,3.57057580413188
"11536",90304241,3.68663402530314
"11537",111609994,2.95626846350592
"11538",130708118,3.2513995702999
"11539",110218886,3.29212409626598
"11540",141408738,3.82610929463106
"11541",111801139,3.78527061874232
"11542",121517506,3.72087631361004
"11543",101918279,3.54601454385239
"11544",121110656,3.087013857959
"11545",120304387,3.53138017115591
"11546",120922331,3.58673906981848
"11547",90715985,3.58673906981848
"11548",110804207,3.54601454385239
"11549",91607270,3.29212409626598
"11550",140105532,3.8368280138259
"11551",90322902,3.60926716852154
"11552",101721372,3.89599844334448
"11553",121421171,3.9912407860184
"11554",141416004,3.68663402530314
"11555",91321791,3.10261556010341
"11556",91123609,3.68663402530314
"11557",112119661,5.2288058312027
"11558",120212678,4.55580987390962
"11559",130904249,3.54221304027341
"11560",121008813,3.29212409626598
"11561",92021848,4.33030890498026
"11562",101711802,3.087013857959
"11563",122117268,2.69250392892184
"11564",100305382,3.49061813351161
"11565",91429539,2.0992650935376
"11566",130811053,3.9357989759431
"11567",100521292,3.087013857959
"11568",132005627,3.50148851430733
"11569",110918591,3.79610348785982
"11570",110521211,4.03038534002067
"11571",112012868,3.68663402530314
"11572",120616443,3.2513995702999
"11573",91310623,1.61629983749818
"11574",141204870,3.68663402530314
"11575",122120217,3.29212409626598
"11576",130817212,3.15150461481523
"11577",121406499,4.24132973002582
"11578",122007314,3.54601454385239
"11579",130320505,3.29212409626598
"11580",90701164,3.19222914078132
"11581",132105479,4.72460622085351
"11582",100327668,2.94473430394323
"11583",101522743,3.29212409626598
"11584",111721101,3.29212409626598
"11585",90220551,4.33030890498026
"11586",101309679,3.76455853434699
"11587",90308037,3.68663402530314
"11588",110300602,5.47889477521013
"11589",140104021,5.2288058312027
"11590",130214644,3.79610348785982
"11591",122106843,2.23194016520648
"11592",120504748,4.07110986598676
"11593",90207716,3.68663402530314
"11594",91524879,3.29212409626598
"11595",110113531,4.24971687707273
"11596",90711229,3.64590949933706
"11597",101308737,3.2513995702999
"11598",91012167,3.68663402530314
"11599",101704096,3.93672296931057
"11600",121511580,3.09610820447445
"11601",110605056,5.2288058312027
"11602",100624938,3.68663402530314
"11603",121708177,4.32119880999418
"11604",111405395,3.087013857959
"11605",90323127,3.1274820678844
"11606",100219078,3.68663402530314
"11607",90814227,3.29212409626598
"11608",130305413,4.17167317760607
"11609",140213876,4.0961335737748
"11610",101221376,3.68663402530314
"11611",131423447,4.20209144018138
"11612",92100568,2.94639437650825
"11613",111500766,4.34587487663566
"11614",92018201,3.68663402530314
"11615",131012769,3.2513995702999
"11616",111909600,3.29212409626598
"11617",100811273,3.68663402530314
"11618",110310664,3.9912407860184
"11619",130312553,3.68663402530314
"11620",100307802,3.29212409626598
"11621",100801253,3.087013857959
"11622",90511001,2.85162117385718
"11623",131905372,3.64590949933706
"11624",101317618,3.49061813351161
"11625",110607755,3.07052617372094
"11626",130717796,3.68663402530314
"11627",111210727,3.9996279330653
"11628",140804581,3.68663402530314
"11629",111418847,3.64590949933706
"11630",120321637,3.68663402530314
"11631",140906493,4.20060520405974
"11632",131817391,3.29212409626598
"11633",100206009,2.66888033334508
"11634",121409100,2.43717141614184
"11635",110207066,3.68663402530314
"11636",90900691,3.4315993655939
"11637",91927280,3.64590949933706
"11638",91415689,3.53951079224956
"11639",131004607,2.98711890247433
"11640",90506883,3.64590949933706
"11641",130310224,3.29212409626598
"11642",91022208,3.04628933199292
"11643",90205682,2.07246745532215
"11644",130623285,3.88516557422699
"11645",91228645,3.9996279330653
"11646",101609238,1.95701256057927
"11647",90120628,2.29431254147809
"11648",131120047,3.8483060371103
"11649",130309007,3.68663402530314
"11650",140509804,3.087013857959
"11651",101604619,3.50148851430733
"11652",92110185,3.68663402530314
"11653",101319551,3.93672296931057
"11654",121918102,3.29212409626598
"11655",120315101,2.91613927090019
"11656",100625462,3.64590949933706
"11657",121822140,2.42383256460202
"11658",91507076,3.29212409626598
"11659",91515337,3.9996279330653
"11660",110118788,3.68663402530314
"11661",90718066,3.04628933199292
"11662",101709001,3.8368280138259
"11663",120209658,3.29212409626598
"11664",130217095,2.38310803863594
"11665",141808695,3.29212409626598
"11666",91706318,3.68663402530314
"11667",132117527,3.087013857959
"11668",100904411,3.68663402530314
"11669",120316518,3.68663402530314
"11670",90214887,4.24281596614746
"11671",91326037,3.8483060371103
"11672",130204585,2.65177940295576
"11673",91425092,3.087013857959
"11674",131600505,2.83837677223322
"11675",90513363,3.64590949933706
"11676",120204234,5.05460413217312
"11677",90819610,3.54601454385239
"11678",120814405,3.64590949933706
"11679",91507889,4.24971687707273
"11680",100508914,3.49061813351161
"11681",111513045,3.68663402530314
"11682",90610396,3.64590949933706
"11683",130415591,3.15150461481523
"11684",110707478,3.54221304027341
"11685",111921379,1.64546300095586
"11686",101912654,3.29212409626598
"11687",121517581,3.2513995702999
"11688",122005640,3.04628933199292
"11689",131221849,3.6765999369496
